,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
24,1075,NA,1,0,0.5,0.5,0,-0.25,0,0,0,0,-0.2,0,0,NA,NA,0,1,0.8,0,0,NA,NA,NA,NA,NA
25,1080,NA,-0.25,NA,NA,NA,-1,0,-0.6,0,0,0,0,0,-0.6,0,0,0,0,-1,NA,0,0.4,NA,NA,NA,NA
26,1082,0,0,1,0,-0.25,1,-0.5,-0.2,0,0,0.8,0.2,-0.8,0.2,0,-1,1,0,0,1,0.75,0,0,0.75,-0.25,NA
27,1087,NA,0.5,-0.5,NA,NA,-1,-0.5,NA,0,0,NA,0,-0.4,-0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1091,1,-1,-1,-1,0,0,0.5,0,1,1,1,0.2,0.6,0.6,0,0,1,0,0,0,-1,0,0,NA,NA,NA
29,1096,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
30,1099,1,0,NA,0,NA,NA,NA,NA,0.4,NA,-0.2,-0.6,NA,-0.4,0,NA,1,1,0,NA,NA,0,NA,0,NA,NA
31,1101,NA,0,0.5,0,NA,0,0,-0.4,0,0.6,0.4,NA,0,0,NA,NA,0,0,0,1,0.5,0,NA,0,-0.25,-0.25
32,1102,-1,0,0,0,0,0,0,0.8,0,1,0,0.2,1,0.2,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA
33,1103,1,-0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,NA,NA,0,1,0.4,0,0.5,NA,NA,NA,NA,NA
34,1108,0,-0.5,-0.75,0,0,0,0,0,0,0,0.6,NA,-0.6,0.6,NA,NA,0,0,0,-1,0,0,0,1,1,1
35,1110,0,-0.5,-0.5,-1,NA,-1,-1,-0.4,-1,-1,-1,NA,NA,NA,-0.5,-0.4,0,0,0,0,0.5,0.2,-0.8,NA,NA,NA
36,1111,NA,0.25,1,0,1,0,0,0,1,0,1,NA,0,0,NA,1,0,0,NA,NA,1,NA,NA,NA,NA,NA
37,1114,0,NA,NA,-1,0,0,-0.25,-0.6,0,-1,-0.4,-0.4,-0.4,-0.4,0,-1,NA,NA,0.8,0,0.5,NA,NA,NA,NA,NA
38,1115,1,0,0.75,0,1,0,0.25,0,0,0.6,1,0,0.4,0,1,0.4,0,0,0,1,0,NA,NA,NA,NA,NA
39,1117,NA,0,NA,NA,NA,NA,-0.5,NA,0,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
